RxDevice,FileId,TxDevice,StartTime,Endtime,Value
82,4373855,82,2.92726E+14,2.92726E+14,1
80,4372396,80,2.92765E+14,2.92765E+14,255
77,4371103,77,2.92793E+14,2.92793E+14,252
84,4375055,84,2.9276E+14,2.9276E+14,0
83,4374530,83,2.92797E+14,2.92797E+14,55
86,4377135,86,2.9277E+14,2.9277E+14,244
82,4373857,82,2.92731E+14,2.92731E+14,26
84,4375056,84,2.92761E+14,2.92761E+14,0
82,4373861,82,2.92803E+14,2.92803E+14,2
73,4367200,73,2.92757E+14,2.92757E+14,1
76,4370299,76,2.92784E+14,2.92784E+14,253
87,4377916,87,2.92801E+14,2.92801E+14,1
71,4365438,71,2.92792E+14,2.92792E+14,0
80,4372401,80,2.92809E+14,2.92809E+14,251
85,4376274,85,2.92778E+14,2.92778E+14,0
83,4374531,83,2.92798E+14,2.92798E+14,0
86,4377137,86,2.92803E+14,2.92803E+14,0
87,4377913,87,2.92791E+14,2.92791E+14,0
70,4364690,70,2.92783E+14,2.92783E+14,251
75,4369581,75,2.92806E+14,2.92806E+14,252
75,4369578,75,2.92774E+14,2.92774E+14,252
77,4371105,77,2.92795E+14,2.92795E+14,253
80,4372400,80,2.92806E+14,2.92806E+14,255
74,4368439,74,2.92795E+14,2.92795E+14,13
77,4371098,77,2.92732E+14,2.92732E+14,249
77,4371099,77,2.92763E+14,2.92763E+14,253
87,4377912,87,2.92785E+14,2.92785E+14,0
76,4370301,76,2.92795E+14,2.92795E+14,1
87,4377917,87,2.92804E+14,2.92804E+14,254
80,4372399,80,2.92799E+14,2.92799E+14,255
87,4377911,87,2.92782E+14,2.92782E+14,252
74,4368438,74,2.92772E+14,2.92772E+14,252
74,4368440,74,2.92797E+14,2.92797E+14,241
77,4371106,77,2.92799E+14,2.92799E+14,40
85,4376276,85,2.928E+14,2.928E+14,181
87,4377909,87,2.92765E+14,2.92765E+14,0
71,4365443,71,2.928E+14,2.928E+14,255
73,4367204,73,2.928E+14,2.928E+14,8
76,4370297,76,2.9278E+14,2.9278E+14,250
