RxDevice,FileId,TxDevice,StartTime,Endtime,Value
62,4337510,62,292765223933728,292765224533664,0
62,4337510,62,292765224633736,292765280033758,1
62,4337510,62,292765280133699,292765280733764,0
62,4337510,62,292765280833709,292765280833709,3
62,4337510,62,292765280933705,292765669936315,1
62,4337510,62,292765670036316,292765670636311,0
62,4337510,62,292765670736264,292765711337377,1
62,4337510,62,292765711437372,292765711937368,0
62,4337510,62,292765712037376,292765712037376,3
62,4337510,62,292765712137372,292765743737426,1
62,4337510,62,292765743837365,292765744437369,0
62,4337510,62,292765744537429,292765751237393,1
62,4337510,62,292765751337447,292765751837409,3
62,4337510,62,292765751937400,292765755437410,1
62,4337510,62,292765755537474,292765756037468,3
62,4337510,62,292765756137406,292765760137474,1
62,4337510,62,292765760237484,292765760837487,3
62,4337510,62,292765760937422,292765766837490,1
62,4337510,62,292765766937499,292765767568695,3
62,4337510,62,292765767639450,292765772037502,1
62,4337510,62,292765772138438,292765772637495,3
62,4337510,62,292765772737441,292765782437463,1
62,4337510,62,292765782537524,292765783237463,3
62,4337510,62,292765783339906,292765790940918,1
62,4337510,62,292765791037579,292765791537480,3
62,4337510,62,292765791637540,292765793837550,1
62,4337510,62,292765793937544,292765795937549,3
62,4337510,62,292765796037502,292765798837553,1
62,4337510,62,292765798937499,292765802237513,3
62,4337510,62,292765802337508,292765805237426,1
62,4337510,62,292765805337432,292765805837426,3
62,4337510,62,292765805937484,292765817839524,1
62,4337510,62,292765817937471,292765818537467,3
62,4337510,62,292765818637515,292765820137469,1
62,4337510,62,292765820237530,292765820837470,3
62,4337510,62,292765820937474,292765822337531,1
62,4337510,62,292765822437482,292765822937479,3
62,4337510,62,292765823037542,292765824137482,1
62,4337510,62,292765824237536,292765824837554,3
62,4337510,62,292765824937497,292765825837491,1
62,4337510,62,292765825937556,292765826537503,3
62,4337510,62,292765826637492,292765827337548,1
62,4337510,62,292765827437495,292765828037498,3
62,4337510,62,292765828137500,292765828937552,1
62,4337510,62,292765829037506,292765829637555,3
62,4337510,62,292765829737571,292765831437511,1
62,4337510,62,292765831537508,292765832037524,3
62,4337510,62,292765832137519,292765834037521,1
62,4337510,62,292765834137529,292765834737523,3
62,4337510,62,292765834837585,292765836614545,1
62,4337510,62,292765836637594,292765837238532,3
62,4337510,62,292765837338540,292765839738536,1
62,4337510,62,292765839838539,292765840438539,3
62,4337510,62,292765840538538,292765844438554,1
62,4337510,62,292765844538551,292765845138554,3
62,4337510,62,292765845238553,292765848138536,1
62,4337510,62,292765848238542,292765848738540,3
62,4337510,62,292765848838543,292765851538545,1
62,4337510,62,292765851638541,292765852138552,3
62,4337510,62,292765852238550,292765856038566,1
62,4337510,62,292765856138571,292765856738569,3
62,4337510,62,292765856838579,292765859238583,1
62,4337510,62,292765859338579,292765859938589,3
62,4337510,62,292765860038586,292765863438597,1
62,4337510,62,292765863538596,292765864038607,3
62,4337510,62,292765864138600,292765881238537,1
62,4337510,62,292765881338590,292765881938591,3
62,4337510,62,292765882038589,292765901638639,1
62,4337510,62,292765901738651,292765902338588,3
62,4337510,62,292765902438589,292765906238665,1
62,4337510,62,292765906338652,292765906938601,3
62,4337510,62,292765907038601,292765913638627,1
62,4337510,62,292765913738617,292765914238622,3
62,4337510,62,292765914338616,292765920638638,1
62,4337510,62,292765920738635,292765921238639,3
62,4337510,62,292765921338638,292765936238730,1
62,4337510,62,292765936338740,292765936838733,3
62,4337510,62,292765936938729,292765945438711,1
62,4337510,62,292765945542772,292765946138753,3
62,4337510,62,292765946238766,292765949235629,1
62,4337510,62,292765949338724,292765949838777,3
62,4337510,62,292765949938725,292765952738786,1
62,4337510,62,292765952838737,292765953438653,3
62,4337510,62,292765953538648,292765956138657,1
62,4337510,62,292765956238664,292765956838718,3
62,4337510,62,292765956938740,292765959438668,1
62,4337510,62,292765959538728,292765960138669,3
62,4337510,62,292765960238671,292765962538675,1
62,4337510,62,292765962638738,292765963238739,3
62,4337510,62,292765963338676,292765966738678,1
62,4337510,62,292765966838685,292765967438685,3
62,4337510,62,292765967538679,292765979338704,1
62,4337510,62,292765979438698,292765979968451,3
62,4337510,62,292765980038764,292766013039800,1
62,4337510,62,292766013139805,292766013739806,3
62,4337510,62,292766013839800,292766022523106,1
62,4337510,62,292766022539928,292766023039839,3
62,4337510,62,292766023139853,292766028339872,1
